"metric","value"
"mean_gain",0.00930881742792258
"median_gain",0.00842118263244629
"pct_benefit",0.429883138564274
"pct_large_benefit",0.00834724540901502
"max_gain",0.0658418536186218
"nnt",107.425030917506
