"therapy","ate","se","ci_lower","ci_upper","n_treated"
"act",0.0563673261118044,0.0112440497153278,0.0343289886697619,0.0784056635538469,188
"cbt",0.0350047501294615,0.0119044544336406,0.0116720194395259,0.058337480819397,1306
"dbt",0.0500717882868231,0.0124213511854274,0.0257259399633854,0.0744176366102608,663
"mindfulness",0.0202630835029085,0.0111921358854913,-0.00167350283265441,0.0421996698384715,544
"stages_of_change",0.112544929440028,0.0125065881642877,0.0880320166380246,0.137057842242032,840
"family_systems",-0.0211236570948067,0.0112766797943976,-0.0432259494918259,0.000978635302212524,562
